query,ground_truth_id,category,latency,recall@1,mrr@1,precision@1,ndcg@1,recall@5,mrr@5,precision@5,ndcg@5,recall@10,mrr@10,precision@10,ndcg@10,recall@20,mrr@20,precision@20,ndcg@20
What are the treatments for carnitine-acylcarnitine translocase deficiency ?,102,Endocrinology,0.03154635429382324,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How to diagnose Liddle syndrome ?,797,Genetics,0.0223691463470459,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Infantile axonal neuropathy ?,973,Genetics,0.023389577865600586,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for gnathodiaphyseal dysplasia ?,473,Endocrinology,0.026653051376342773,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Urinary Tract Infections ?,1265,General Medicine,0.022846698760986328,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Bartter syndrome ?,935,Genetics,0.022917747497558594,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Griscelli syndrome type 3 ?,644,Genetics,0.020061969757080078,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is the outlook for Encephalitis Lethargica ?,1205,General Medicine,0.02091050148010254,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Breast Cancer ?,1235,General Medicine,0.019546031951904297,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What causes Thalassemia ?,966,Genetics,0.016266345977783203,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Sclerosing mesenteritis ?,634,Genetics,0.02217578887939453,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Pelizaeus-Merzbacher disease ?,284,Endocrinology,0.02245163917541504,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Bone Infections ?,1105,General Medicine,0.02312445640563965,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to complement component 2 deficiency ?,243,Endocrinology,0.026962757110595703,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Arts syndrome ?,333,Endocrinology,0.025864124298095703,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Malignant eccrine spiradenoma ?,585,Genetics,0.02567005157470703,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Primary hyperparathyroidism ?,566,Genetics,0.030367612838745117,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.6309297535714575,1.0,0.5,0.1,0.6309297535714575,1.0,0.5,0.05,0.6309297535714575
What are the symptoms of Congenital anosmia ?,631,Genetics,0.02379441261291504,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How many people are affected by X-linked adrenoleukodystrophy ?,344,Endocrinology,0.023932218551635742,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
what research (or clinical trials) is being done for Empty Sella Syndrome ?,1027,General Medicine,0.024565458297729492,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Crohn's Disease ?,1338,Endocrinology,0.0214536190032959,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.6309297535714575,1.0,0.5,0.1,0.6309297535714575,1.0,0.5,0.05,0.6309297535714575
Is von Hippel-Lindau syndrome inherited ?,421,Endocrinology,0.01859116554260254,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for lung cancer ?,177,Endocrinology,0.023690223693847656,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.6309297535714575,1.0,0.5,0.1,0.6309297535714575,1.0,0.5,0.05,0.6309297535714575
What is (are) Wiedemann-Steiner syndrome ?,627,Genetics,0.02075481414794922,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Cardiomyopathy dilated with woolly hair and keratoderma ?,922,Genetics,0.024078369140625,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for isolated Duane retraction syndrome ?,308,Endocrinology,0.022189617156982422,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to adult polyglucosan body disease ?,478,Endocrinology,0.024414539337158203,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
what research (or clinical trials) is being done for Lambert-Eaton Myasthenic Syndrome ?,1075,General Medicine,0.02386307716369629,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Shoulder Injuries and Disorders ?,1076,General Medicine,0.019747257232666016,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What to do for Kidney Stones in Children ?,1330,Endocrinology,0.021253108978271484,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Immunodeficiency with hyper IgM type 2 ?,624,Genetics,0.02174997329711914,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Phacomatosis pigmentovascularis ?,725,Genetics,0.018834829330444336,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Ataxia ?,1201,General Medicine,0.021188735961914062,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Hypertonia ?,1228,General Medicine,0.022167682647705078,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
Do you have information about Rural Health Concerns,1079,General Medicine,0.01851034164428711,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Vohwinkel syndrome ?,652,Genetics,0.021337509155273438,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Nutrition for Advanced Chronic Kidney Disease in Adults ?,1327,Endocrinology,0.018590927124023438,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Stomatocytosis I ?,784,Genetics,0.020133256912231445,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
"What is (are) Muscular dystrophy, congenital, merosin-positive ?",959,Genetics,0.02231907844543457,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Lambdoid synostosis ?,1002,Genetics,0.026568889617919922,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to Kuskokwim syndrome ?,390,Endocrinology,0.02295660972595215,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.6309297535714575,1.0,0.5,0.1,0.6309297535714575,1.0,0.5,0.05,0.6309297535714575
What are the treatments for Hashimoto's Disease ?,1387,Endocrinology,0.021175384521484375,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How to diagnose What I need to know about Cirrhosis ?,1326,Endocrinology,0.023631811141967773,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for glycine encephalopathy ?,167,Endocrinology,0.02353644371032715,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is the outlook for Brachial Plexus Injuries ?,1211,General Medicine,0.017055988311767578,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Stenotrophomonas maltophilia infection ?,996,Genetics,0.023039579391479492,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Camptodactyly taurinuria ?,598,Genetics,0.016426563262939453,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Holt-Oram syndrome ?,794,Genetics,0.020904541015625,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to deafness and myopia syndrome ?,314,Endocrinology,0.018887042999267578,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) giant axonal neuropathy ?,237,Endocrinology,0.019133567810058594,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Ullrich congenital muscular dystrophy ?,983,Genetics,0.019374847412109375,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Bile Duct Cancer ?,1074,General Medicine,0.020062923431396484,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for leptin receptor deficiency ?,276,Endocrinology,0.021898269653320312,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How many people are affected by familial erythrocytosis ?,526,Endocrinology,0.021953344345092773,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Testicular Cancer ?,1122,General Medicine,0.018267393112182617,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Asperger syndrome ?,336,Endocrinology,0.020908355712890625,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How many people are affected by Ellis-van Creveld syndrome ?,512,Endocrinology,0.025074243545532227,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
"How many people are affected by 46,XX testicular disorder of sex development ?",253,Endocrinology,0.02177286148071289,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Spondylocostal dysostosis 4 ?,787,Genetics,0.021700143814086914,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to spastic paraplegia type 11 ?,528,Endocrinology,0.017752408981323242,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Endometrial Cancer ?,1424,Oncology,0.019765377044677734,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How many people are affected by Wagner syndrome ?,533,Endocrinology,0.021236896514892578,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to Waldenstrm macroglobulinemia ?,494,Endocrinology,0.020687103271484375,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Diabetic Retinopathy ?,1040,General Medicine,0.01888251304626465,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.6309297535714575,1.0,0.5,0.1,0.6309297535714575,1.0,0.5,0.05,0.6309297535714575
What is (are) 2-methyl-3-hydroxybutyric aciduria ?,943,Genetics,0.021167516708374023,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
Who is at risk for Fecal Incontinence? ?,1368,Endocrinology,0.021497011184692383,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is the outlook for Kidney Dysplasia ?,1325,Endocrinology,0.020701885223388672,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
Is Pompe disease inherited ?,95,Endocrinology,0.019624710083007812,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How many people are affected by complement component 2 deficiency ?,364,Endocrinology,0.01993584632873535,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How to prevent La Crosse Encephalitis ?,1478,Public Health,0.02185368537902832,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.2,0.5,1.0,0.3333333333333333,0.1,0.5,1.0,0.3333333333333333,0.05,0.5
How many people are affected by spastic paraplegia type 3A ?,61,Endocrinology,0.02262115478515625,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What causes Pseudohypoaldosteronism type 2 ?,840,Genetics,0.0203702449798584,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) Premature Ovarian Failure ?,1213,General Medicine,0.020570755004882812,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to iron-refractory iron deficiency anemia ?,346,Endocrinology,0.02172398567199707,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
Is osteoporosis-pseudoglioma syndrome inherited ?,510,Endocrinology,0.020003318786621094,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How to prevent Heart Failure ?,1461,Cardiology,0.02079916000366211,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
Is Sjogren syndrome inherited ?,584,Genetics,0.023794889450073242,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How many people are affected by renal coloboma syndrome ?,6,Endocrinology,0.017501354217529297,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How to diagnose Klippel Feil syndrome ?,970,Genetics,0.018712759017944336,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Marinesco-Sjgren syndrome ?,220,Endocrinology,0.019115209579467773,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to atelosteogenesis type 1 ?,113,Endocrinology,0.021065950393676758,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) spinal and bulbar muscular atrophy ?,131,Endocrinology,0.017823457717895508,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Alpha-1 Antitrypsin Deficiency ?,1447,Cardiology,0.022787094116210938,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of What I need to know about Crohn's Disease ?,1333,Endocrinology,0.02228546142578125,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to pachyonychia congenita ?,409,Endocrinology,0.021602392196655273,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
Is Milroy disease inherited ?,752,Genetics,0.01623845100402832,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.6309297535714575,1.0,0.5,0.1,0.6309297535714575,1.0,0.5,0.05,0.6309297535714575
What is (are) Multicentric reticulohistiocytosis ?,856,Genetics,0.02099323272705078,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How to diagnose Geniospasm ?,609,Genetics,0.017344951629638672,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How to diagnose Multiple endocrine neoplasia type 1 ?,890,Genetics,0.019178390502929688,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How many people are affected by Crigler-Najjar syndrome ?,296,Endocrinology,0.0206756591796875,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
