doc_id,Question,Answer,source_file,medical_category,complexity,question_length,answer_length
10,How many people are affected by familial lipoprotein lipase deficiency ?,"This condition affects about 1 per million people worldwide. It is much more common in certain areas of the province of Quebec, Canada.",growth_hormone_receptorQA,Endocrinology,Simple,72,135
11,Is gastrointestinal stromal tumor inherited ?,"Most cases of GIST are not inherited. Sporadic GIST is associated with somatic mutations, which are genetic changes that occur only in the tumor cells and occur during a person's lifetime. In some cases of familial GIST, including those associated with mutations in the KIT and PDGFRA genes, mutations are inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to increase a person's chance of developing tumors. When familial GIST is associated with mutations in other genes, it can have an autosomal recessive pattern of inheritance, which means alterations in both copies of the gene in each cell increase a person's chance of developing tumors.",growth_hormone_receptorQA,Endocrinology,Complex,45,705
12,What are the genetic changes related to Northern epilepsy ?,"Mutations in the CLN8 gene cause Northern epilepsy. The CLN8 gene provides instructions for making a protein whose function is not well understood. The CLN8 protein is thought to play a role in transporting materials in and out of a cell structure called the endoplasmic reticulum. The endoplasmic reticulum is involved in protein production, processing, and transport. Based on the structure of the CLN8 protein, it may also help regulate the levels of fats (lipids) in cells. A single CLN8 gene mutation has been identified to cause Northern epilepsy. Nearly all affected individuals have this mutation in both copies of the CLN8 gene in each cell. The effects of this mutation on protein function are unclear. Unlike other forms of NCL that result in the accumulation of large amounts of fatty substances called lipopigments in cells, contributing to cell death, Northern epilepsy is associated with very little lipopigment buildup. People with Northern epilepsy do have mild brain abnormalities resulting from cell death, but the cause of this brain cell death is unknown. It is also unclear how changes in the CLN8 protein and a loss of brain cells cause the neurological problems associated with Northern epilepsy.",growth_hormone_receptorQA,Endocrinology,Very Complex,59,1220
13,What are the treatments for Prader-Willi syndrome ?,These resources address the diagnosis or management of Prader-Willi syndrome: - Gene Review: Gene Review: Prader-Willi Syndrome - Genetic Testing Registry: Prader-Willi syndrome - MedlinePlus Encyclopedia: Hypotonia - MedlinePlus Encyclopedia: Prader-Willi Syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Moderate,51,483
14,How many people are affected by type 1 diabetes ?,"Type 1 diabetes occurs in 10 to 20 per 100,000 people per year in the United States. By age 18, approximately 1 in 300 people in the United States develop type 1 diabetes. The disorder occurs with similar frequencies in Europe, the United Kingdom, Canada, and New Zealand. Type 1 diabetes occurs much less frequently in Asia and South America, with reported incidences as low as 1 in 1 million per year. For unknown reasons, during the past 20 years the worldwide incidence of type 1 diabetes has been increasing by 2 to 5 percent each year. Type 1 diabetes accounts for 5 to 10 percent of cases of diabetes worldwide. Most people with diabetes have type 2 diabetes, in which the body continues to produce insulin but becomes less able to use it.",growth_hormone_receptorQA,Endocrinology,Complex,49,746
15,What are the treatments for hyperprolinemia ?,These resources address the diagnosis or management of hyperprolinemia: - Baby's First Test - Genetic Testing Registry: Deficiency of pyrroline-5-carboxylate reductase - Genetic Testing Registry: Proline dehydrogenase deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Moderate,45,446
16,What is (are) glutaric acidemia type I ?,"Glutaric acidemia type I is an inherited disorder in which the body is unable to process certain proteins properly. People with this disorder have inadequate levels of an enzyme that helps break down the amino acids lysine, hydroxylysine, and tryptophan, which are building blocks of protein. Excessive levels of these amino acids and their intermediate breakdown products can accumulate and cause damage to the brain, particularly the basal ganglia, which are regions that help control movement. Intellectual disability may also occur. The severity of glutaric acidemia type I varies widely; some individuals are only mildly affected, while others have severe problems. In most cases, signs and symptoms first occur in infancy or early childhood, but in a small number of affected individuals, the disorder first becomes apparent in adolescence or adulthood. Some babies with glutaric acidemia type I are born with unusually large heads (macrocephaly). Affected individuals may have difficulty moving and may experience spasms, jerking, rigidity, or decreased muscle tone. Some individuals with glutaric acidemia have developed bleeding in the brain or eyes that could be mistaken for the effects of child abuse. Strict dietary control may help limit progression of the neurological damage. Stress caused by infection, fever or other demands on the body may lead to worsening of the signs and symptoms, with only partial recovery.",growth_hormone_receptorQA,Endocrinology,Very Complex,40,1431
17,"Is X-linked intellectual disability, Siderius type inherited ?","This condition is inherited in an X-linked recessive pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation would have to occur in both copies of the gene to cause the disorder. Because it is unlikely that females will have two altered copies of this gene, males are affected by X-linked recessive disorders much more frequently than females. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.",growth_hormone_receptorQA,Endocrinology,Complex,62,684
18,What are the genetic changes related to juvenile Batten disease ?,"Most cases of juvenile Batten disease are caused by mutations in the CLN3 gene. This gene provides instructions for making a protein whose function is unknown. It is unclear how mutations in the CLN3 gene lead to the characteristic features of juvenile Batten disease. These mutations somehow disrupt the function of cellular structures called lysosomes. Lysosomes are compartments in the cell that normally digest and recycle different types of molecules. Lysosome malfunction leads to a buildup of fatty substances called lipopigments within these cell structures. These accumulations occur in cells throughout the body, but neurons in the brain seem to be particularly vulnerable to the damage caused by lipopigments. The progressive death of cells, especially in the brain, leads to vision loss, seizures, and intellectual decline in people with juvenile Batten disease. A small percentage of cases of juvenile Batten disease are caused by mutations in other genes. Many of these genes are involved in lysosomal function, and when mutated, can cause this or other forms of NCL.",growth_hormone_receptorQA,Endocrinology,Very Complex,65,1081
19,How many people are affected by CAV3-related distal myopathy ?,The prevalence of CAV3-related distal myopathy is unknown. Only a few affected individuals have been described in the medical literature.,growth_hormone_receptorQA,Endocrinology,Simple,62,137
20,What are the genetic changes related to MEGDEL syndrome ?,"MEGDEL syndrome is caused by mutations in the SERAC1 gene. The function of the protein produced from this gene is not completely understood, although research suggests that it is involved in altering (remodeling) certain fats called phospholipids, particularly a phospholipid known as phosphatidylglycerol. Another phospholipid called cardiolipin is made from phosphatidylglycerol. Cardiolipin is a component of the membrane that surrounds cellular structures called mitochondria, which convert the energy from food into a form that cells can use, and is important for the proper functioning of these structures. SERAC1 gene mutations involved in MEGDEL syndrome lead to little or no SERAC1 protein function. As a result, phosphatidylglycerol remodeling is impaired, which likely alters the composition of cardiolipin. Researchers speculate that the abnormal cardiolipin affects mitochondrial function, reducing cellular energy production and leading to the neurological and hearing problems characteristic of MEGDEL syndrome. It is unclear how SERAC1 gene mutations lead to abnormal release of 3-methylglutaconic acid in the urine, although it is thought to be related to mitochondrial dysfunction.",growth_hormone_receptorQA,Endocrinology,Very Complex,57,1199
21,How many people are affected by Schimke immuno-osseous dysplasia ?,Schimke immuno-osseous dysplasia is a very rare condition. The prevalence in North America is estimated to be one in 1 million to 3 million people.,growth_hormone_receptorQA,Endocrinology,Simple,66,147
22,What are the treatments for Coffin-Siris syndrome ?,These resources address the diagnosis or management of Coffin-Siris syndrome: - Gene Review: Gene Review: Coffin-Siris Syndrome - Genetic Testing Registry: Coffin-Siris syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Moderate,51,395
23,What are the treatments for Crouzon syndrome ?,These resources address the diagnosis or management of Crouzon syndrome: - Gene Review: Gene Review: FGFR-Related Craniosynostosis Syndromes - Genetic Testing Registry: Crouzon syndrome - MedlinePlus Encyclopedia: Craniosynostosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Moderate,46,448
24,What are the genetic changes related to pilomatricoma ?,"Mutations in the CTNNB1 gene are found in almost all cases of isolated pilomatricoma. These mutations are somatic, which means they are acquired during a person's lifetime and are present only in tumor cells. Somatic mutations are not inherited. The CTNNB1 gene provides instructions for making a protein called beta-catenin. This protein plays an important role in sticking cells together (cell adhesion) and in communication between cells. It is also involved in cell signaling as part of the WNT signaling pathway. This pathway promotes the growth and division (proliferation) of cells and helps determine the specialized functions a cell will have (differentiation). WNT signaling is involved in many aspects of development before birth, as well as the maintenance and repair of adult tissues. Among its many activities, beta-catenin appears to be necessary for the normal function of hair follicles. This protein is active in cells that make up a part of the hair follicle known as the matrix. These cells divide and mature to form the different components of the hair follicle and the hair shaft. As matrix cells divide, the hair shaft is pushed upward and extends beyond the skin. Mutations in the CTNNB1 gene lead to a version of beta-catenin that is always turned on (constitutively active). The overactive protein triggers matrix cells to divide too quickly and in an uncontrolled way, leading to the formation of a pilomatricoma. Most pilomatrix carcinomas, the malignant version of pilomatricoma, also have somatic mutations in the CTNNB1 gene. It is unclear why some pilomatricomas are cancerous but most others are not.",growth_hormone_receptorQA,Endocrinology,Very Complex,55,1633
25,What are the treatments for chorea-acanthocytosis ?,These resources address the diagnosis or management of chorea-acanthocytosis: - Gene Review: Gene Review: Chorea-Acanthocytosis - Genetic Testing Registry: Choreoacanthocytosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Moderate,51,394
26,What is (are) distal arthrogryposis type 1 ?,"Distal arthrogryposis type 1 is a disorder characterized by joint deformities (contractures) that restrict movement in the hands and feet. The term ""arthrogryposis"" comes from the Greek words for joint (arthro-) and crooked or hooked (gryposis). The characteristic features of this condition include permanently bent fingers and toes (camptodactyly), overlapping fingers, and a hand deformity in which all of the fingers are angled outward toward the fifth finger (ulnar deviation). Clubfoot, which is an inward- and upward-turning foot, is also commonly seen with distal arthrogryposis type 1. The specific hand and foot abnormalities vary among affected individuals. However, this condition typically does not cause any signs and symptoms affecting other parts of the body.",growth_hormone_receptorQA,Endocrinology,Complex,44,775
27,What is (are) Alzheimer disease ?,"Alzheimer disease is a degenerative disease of the brain that causes dementia, which is a gradual loss of memory, judgment, and ability to function. This disorder usually appears in people older than age 65, but less common forms of the disease appear earlier in adulthood. Memory loss is the most common sign of Alzheimer disease. Forgetfulness may be subtle at first, but the loss of memory worsens over time until it interferes with most aspects of daily living. Even in familiar settings, a person with Alzheimer disease may get lost or become confused. Routine tasks such as preparing meals, doing laundry, and performing other household chores can be challenging. Additionally, it may become difficult to recognize people and name objects. Affected people increasingly require help with dressing, eating, and personal care. As the disorder progresses, some people with Alzheimer disease experience personality and behavioral changes and have trouble interacting in a socially appropriate manner. Other common symptoms include agitation, restlessness, withdrawal, and loss of language skills. People with this disease usually require total care during the advanced stages of the disease. Affected individuals usually survive 8 to 10 years after the appearance of symptoms, but the course of the disease can range from 1 to 25 years. Death usually results from pneumonia, malnutrition, or general body wasting (inanition). Alzheimer disease can be classified as early-onset or late-onset. The signs and symptoms of the early-onset form appear before age 65, while the late-onset form appears after age 65. The early-onset form is much less common than the late-onset form, accounting for less than 5 percent of all cases of Alzheimer disease.",growth_hormone_receptorQA,Endocrinology,Very Complex,33,1746
28,What are the treatments for Stickler syndrome ?,"These resources address the diagnosis or management of Stickler syndrome: - Gene Review: Gene Review: Stickler Syndrome - Genetic Testing Registry: Marshall syndrome - Genetic Testing Registry: Stickler syndrome - MedlinePlus Encyclopedia: Pierre Robin Syndrome - Merck Manual Consumer Version: Detachment of the Retina - Stickler Involved People: Clinical Characteristics & Diagnostic Criteria - Stickler Involved People: Stickler Syndrome Recognition, Diagnosis, Treatment These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care",growth_hormone_receptorQA,Endocrinology,Complex,47,692
29,How many people are affected by thanatophoric dysplasia ?,"This condition occurs in 1 in 20,000 to 50,000 newborns. Type I thanatophoric dysplasia is more common than type II.",growth_hormone_receptorQA,Endocrinology,Simple,57,116
30,What is (are) Bjrnstad syndrome ?,"Bjrnstad syndrome is a rare disorder characterized by abnormal hair and hearing problems. Affected individuals have a condition known as pili torti, which means ""twisted hair,"" so named because the strands appear twisted when viewed under a microscope. The hair is brittle and breaks easily, leading to short hair that grows slowly. In Bjrnstad syndrome, pili torti usually affects only the hair on the head; eyebrows, eyelashes, and hair on other parts of the body are normal. The proportion of hairs affected and the severity of brittleness and breakage can vary. This hair abnormality commonly begins before the age of 2. It may become milder with age, particularly after puberty. People with Bjrnstad syndrome also have hearing problems that become evident in early childhood. The hearing loss, which is caused by changes in the inner ear (sensorineural deafness), can range from mild to severe. Mildly affected individuals may be unable to hear sounds at certain frequencies, while severely affected individuals may not be able to hear at all.",growth_hormone_receptorQA,Endocrinology,Very Complex,33,1048
31,What is (are) succinate-CoA ligase deficiency ?,"Succinate-CoA ligase deficiency is an inherited disorder that affects the early development of the brain and other body systems. One of the earliest signs of the disorder is very weak muscle tone (severe hypotonia), which appears in the first few months of life. Severe hypotonia delays the development of motor skills such as holding up the head and rolling over. Many affected children also have muscle weakness and reduced muscle mass, which prevents them from standing and walking independently. Additional features of succinate-CoA ligase deficiency can include progressive abnormal curvature of the spine (scoliosis or kyphosis), uncontrolled movements (dystonia), severe hearing loss, and seizures beginning in childhood. In most affected children, a substance called methylmalonic acid builds up abnormally in the body and is excreted in urine (methylmalonic aciduria). Most children with succinate-CoA ligase deficiency also experience a failure to thrive, which means that they gain weight and grow more slowly than expected. Succinate-CoA ligase deficiency causes breathing difficulties that often lead to recurrent infections of the respiratory tract. These infections can be life-threatening, and most people with succinate-CoA ligase deficiency live only into childhood or adolescence. A few individuals with succinate-CoA ligase deficiency have had an even more severe form of the disorder known as fatal infantile lactic acidosis. Affected infants develop a toxic buildup of lactic acid in the body (lactic acidosis) in the first day of life, which leads to muscle weakness and breathing difficulties. Children with fatal infantile lactic acidosis usually live only a few days after birth.",growth_hormone_receptorQA,Endocrinology,Very Complex,47,1705
32,What are the treatments for hereditary leiomyomatosis and renal cell cancer ?,These resources address the diagnosis or management of HLRCC: - Gene Review: Gene Review: Hereditary Leiomyomatosis and Renal Cell Cancer - Genetic Testing Registry: Hereditary leiomyomatosis and renal cell cancer - MedlinePlus Encyclopedia: Renal Cell Carcinoma These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Moderate,77,480
33,How many people are affected by X-linked dystonia-parkinsonism ?,"X-linked dystonia-parkinsonism has been reported in more than 500 people of Filipino descent, although it is likely that many more Filipinos are affected. Most people with this condition can trace their mother's ancestry to the island of Panay in the Philippines. The prevalence of the disorder is 5.24 per 100,000 people on the island of Panay.",growth_hormone_receptorQA,Endocrinology,Moderate,64,345
34,What are the genetic changes related to Peutz-Jeghers syndrome ?,"Mutations in the STK11 gene (also known as LKB1) cause most cases of Peutz-Jeghers syndrome. The STK11 gene is a tumor suppressor gene, which means that it normally prevents cells from growing and dividing too rapidly or in an uncontrolled way. A mutation in this gene alters the structure or function of the STK11 protein, disrupting its ability to restrain cell division. The resulting uncontrolled cell growth leads to the formation of noncancerous polyps and cancerous tumors in people with Peutz-Jeghers syndrome. A small percentage of people with Peutz-Jeghers syndrome do not have mutations in the STK11 gene. In these cases, the cause of the disorder is unknown.",growth_hormone_receptorQA,Endocrinology,Complex,64,670
35,What are the genetic changes related to erythrokeratodermia variabilis et progressiva ?,"EKVP can be caused by mutations in the GJB3 or GJB4 gene. These genes provide instructions for making proteins called connexin 31 and connexin 30.3, respectively. These proteins are part of the connexin family, a group of proteins that form channels called gap junctions on the surface of cells. Gap junctions open and close to regulate the flow of nutrients, charged atoms (ions), and other signaling molecules from one cell to another. They are essential for direct communication between neighboring cells. Gap junctions formed with connexin 31 and connexin 30.3 are found in several tissues, including the outermost layer of skin (the epidermis). The GJB3 and GJB4 gene mutations that cause EKVP alter the structure of the connexins produced from these genes. Studies suggest that the abnormal proteins can build up in a cell structure called the endoplasmic reticulum (ER), triggering a harmful process known as ER stress. Researchers suspect that ER stress damages and leads to the premature death of cells in the epidermis. This cell death leads to skin inflammation, which appears to underlie the development of erythematous areas. The mechanism by which epidermal damage and cell death contributes to hyperkeratosis is poorly understood. In some cases, affected individuals have no identified mutation in the GJB3 or GJB4 gene. In these individuals, the cause of the disorder is unknown. Researchers suspect that changes in other, unidentified genes may also be associated with EKVP.",growth_hormone_receptorQA,Endocrinology,Very Complex,87,1491
36,What are the genetic changes related to progressive supranuclear palsy ?,"In most cases, the genetic cause of progressive supranuclear palsy is unknown. Rarely, the disease results from mutations in the MAPT gene. Certain normal variations (polymorphisms) in the MAPT gene have also been associated with an increased risk of developing progressive supranuclear palsy. The MAPT gene provides instructions for making a protein called tau. This protein is found throughout the nervous system, including in nerve cells (neurons) in the brain. It is involved in assembling and stabilizing microtubules, which are rigid, hollow fibers that make up the cell's structural framework (the cytoskeleton). Microtubules help cells maintain their shape, assist in the process of cell division, and are essential for the transport of materials within cells. The signs and symptoms of progressive supranuclear palsy appear to be related to abnormalities in the tau protein. In people with MAPT gene mutations, genetic changes disrupt the protein's normal structure and function. However, abnormal tau is also found in affected individuals without MAPT gene mutations. The defective tau protein assembles into abnormal clumps within neurons and other brain cells, although it is unclear what effect these clumps have on cell function and survival. Progressive supranuclear palsy is characterized by the gradual death of brain cells, particularly in structures deep within the brain that are essential for coordinating movement. This loss of brain cells underlies the movement abnormalities and other features of progressive supranuclear palsy. This condition is one of several related diseases known as tauopathies, which are characterized by an abnormal buildup of tau in the brain. Researchers suspect that other genetic and environmental factors also contribute to progressive supranuclear palsy. For example, the disease has been linked to genetic changes on chromosome 1 and chromosome 11. However, the specific genes involved have not been identified.",growth_hormone_receptorQA,Endocrinology,Very Complex,72,1966
37,What are the treatments for vitelliform macular dystrophy ?,"These resources address the diagnosis or management of vitelliform macular dystrophy: - Gene Review: Gene Review: Best Vitelliform Macular Dystrophy - Genetic Testing Registry: Macular dystrophy, vitelliform, adult-onset - Genetic Testing Registry: Vitelliform dystrophy - MedlinePlus Encyclopedia: Macula (image) These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care",growth_hormone_receptorQA,Endocrinology,Complex,59,531
38,What are the treatments for Pfeiffer syndrome ?,These resources address the diagnosis or management of Pfeiffer syndrome: - Gene Review: Gene Review: FGFR-Related Craniosynostosis Syndromes - Genetic Testing Registry: Pfeiffer syndrome - MedlinePlus Encyclopedia: Craniosynostosis - MedlinePlus Encyclopedia: Webbing of fingers or toes These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Complex,47,505
39,Is dilated cardiomyopathy with ataxia syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",growth_hormone_receptorQA,Endocrinology,Moderate,58,303
40,What is (are) familial glucocorticoid deficiency ?,"Familial glucocorticoid deficiency is a condition that occurs when the adrenal glands, which are hormone-producing glands located on top of each kidney, do not produce certain hormones called glucocorticoids. These hormones, which include cortisol and corticosterone, aid in immune system function, play a role in maintaining normal blood sugar levels, help trigger nerve cell signaling in the brain, and serve many other purposes in the body. A shortage of adrenal hormones (adrenal insufficiency) causes the signs and symptoms of familial glucocorticoid deficiency. These signs and symptoms often begin in infancy or early childhood. Most affected children first develop low blood sugar (hypoglycemia). These hypoglycemic children can fail to grow and gain weight at the expected rate (failure to thrive). If left untreated, hypoglycemia can lead to seizures, learning difficulties, and other neurological problems. Hypoglycemia that is left untreated for prolonged periods can lead to neurological damage and death. Other features of familial glucocorticoid deficiency can include recurrent infections and skin coloring darker than that of other family members (hyperpigmentation). There are multiple types of familial glucocorticoid deficiency, which are distinguished by their genetic cause.",growth_hormone_receptorQA,Endocrinology,Very Complex,50,1296
41,What are the treatments for myosin storage myopathy ?,These resources address the diagnosis or management of myosin storage myopathy: - Genetic Testing Registry: Myosin storage myopathy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Moderate,53,349
42,How many people are affected by congenital contractural arachnodactyly ?,"The prevalence of congenital contractural arachnodactyly is estimated to be less than 1 in 10,000 worldwide.",growth_hormone_receptorQA,Endocrinology,Simple,72,108
43,What is (are) autosomal dominant congenital stationary night blindness ?,"Autosomal dominant congenital stationary night blindness is a disorder of the retina, which is the specialized tissue at the back of the eye that detects light and color. People with this condition typically have difficulty seeing and distinguishing objects in low light (night blindness). For example, they are not able to identify road signs at night and some people cannot see stars in the night sky. Affected individuals have normal daytime vision and typically do not have other vision problems related to this disorder. The night blindness associated with this condition is congenital, which means it is present from birth. This vision impairment tends to remain stable (stationary); it does not worsen over time.",growth_hormone_receptorQA,Endocrinology,Complex,72,719
